"","disbursement_no","disbursement_date","sku","no_units_ordered","unit_cost","ap_no","ap_date"
"680","dis00680",2021-05-03,"PIUCJPK",100,31,"ap00680",2021-04-28
"681","dis00681",2021-05-26,"RZNLMOK",100,31,"ap00681",2021-05-12
"682","dis00682",2021-05-14,"OVEWHKG",100,29,"ap00682",2021-05-01
"683","dis00683",2021-07-21,"XSFEYPO",100,29,"ap00683",2021-04-26
"684","dis00684",2021-05-02,"PGSNMCT",100,19,"ap00684",2021-04-22
"685","dis00685",2021-05-02,"GNOQUOB",100,28,"ap00685",2021-04-23
"686","dis00686",2021-10-03,"JOPBZOY",100,25,"ap00686",2021-04-25
"687","dis00687",2021-11-14,"YWBPDCJ",100,39,"ap00687",2021-05-15
"688","dis00688",2021-09-25,"MGIHQCY",100,28,"ap00688",2021-04-26
"689","dis00689",2021-07-12,"KQQIBBJ",100,32,"ap00689",2021-04-25
"690","dis00690",2021-06-09,"XWFLVUZ",100,33,"ap00690",2021-05-31
"691","dis00691",2021-05-04,"WUSWXXN",100,35,"ap00691",2021-04-23
"692","dis00692",2021-09-30,"APMYZOY",100,21,"ap00692",2021-06-09
"693","dis00693",2021-05-03,"UTUSOYO",100,40,"ap00693",2021-04-22
"694","dis00694",2021-07-03,"VDMNHIQ",100,29,"ap00694",2021-04-24
"695","dis00695",2021-06-29,"GALBYHS",100,24,"ap00695",2021-04-28
"696","dis00696",2021-08-18,"NAAHQUY",100,30,"ap00696",2021-05-02
"697","dis00697",2021-06-11,"VSJJUIG",100,28,"ap00697",2021-05-24
"698","dis00698",2021-06-09,"ESPZBBN",100,31,"ap00698",2021-05-05
"699","dis00699",2021-06-04,"BROMQYM",100,21,"ap00699",2021-04-29
"700","dis00700",2021-10-05,"NMZNYGM",100,36,"ap00700",2021-04-27
"701","dis00701",2021-04-26,"DLYBCMG",100,23,"ap00701",2021-04-23
"702","dis00702",2021-06-02,"ALWRWAR",100,22,"ap00702",2021-04-29
"703","dis00703",2021-10-17,"PEYRRCC",100,24,"ap00703",2021-04-28
"704","dis00704",2021-05-16,"REWWMWR",100,22,"ap00704",2021-05-08
"705","dis00705",2021-06-26,"PLTFTLO",100,33,"ap00705",2021-04-26
"706","dis00706",2021-07-30,"QEDHZSD",100,28,"ap00706",2021-05-09
"707","dis00707",2021-06-29,"LOUYDLP",100,30,"ap00707",2021-05-06
"708","dis00708",2021-07-21,"LCGMRQZ",100,26,"ap00708",2021-06-23
"709","dis00709",2021-06-10,"ZEAOKZJ",100,28,"ap00709",2021-04-25
"710","dis00710",2021-09-08,"KZPTJIT",100,35,"ap00710",2021-05-19
"711","dis00711",2021-06-25,"ERRDNQR",100,41,"ap00711",2021-05-09
"712","dis00712",2021-05-25,"DEJXUGR",100,34,"ap00712",2021-04-27
"713","dis00713",2021-07-12,"ZPDNNZR",100,26,"ap00713",2021-05-31
"714","dis00714",2021-08-20,"OOFSLVM",100,26,"ap00714",2021-05-11
"715","dis00715",2021-06-10,"XCOTMET",100,22,"ap00715",2021-05-09
"716","dis00716",2021-07-05,"OSMECNX",100,24,"ap00716",2021-05-09
"717","dis00717",2021-08-02,"ONNFIMW",100,35,"ap00717",2021-05-06
"718","dis00718",2021-08-23,"ERBDORZ",100,34,"ap00718",2021-05-10
"719","dis00719",2021-07-03,"BXEFJRL",100,25,"ap00719",2021-05-16
"720","dis00720",2021-06-14,"URPUOFX",100,31,"ap00720",2021-05-14
"721","dis00721",2021-06-10,"EAJCLJX",100,27,"ap00721",2021-05-14
"722","dis00722",2021-05-12,"XMTTCDL",100,38,"ap00722",2021-05-12
"723","dis00723",2021-08-17,"DLWFVYS",100,33,"ap00723",2021-05-22
"724","dis00724",2021-05-26,"VYNHPJJ",100,24,"ap00724",2021-05-06
"725","dis00725",2021-10-25,"KXDWCIZ",100,33,"ap00725",2021-05-06
"726","dis00726",2021-08-11,"FNGHFMN",100,32,"ap00726",2021-06-20
"727","dis00727",2021-05-28,"LCAYWQU",100,25,"ap00727",2021-05-25
"728","dis00728",2022-03-05,"LJSBUIB",100,36,"ap00728",2021-05-02
"729","dis00729",2021-07-30,"WVLOPWQ",100,41,"ap00729",2021-05-05
"730","dis00730",2021-06-30,"KSKFCXR",100,35,"ap00730",2021-06-17
"731","dis00731",2021-09-13,"OAHVLLJ",100,28,"ap00731",2021-05-08
"732","dis00732",2021-08-20,"FVTENNB",100,42,"ap00732",2021-06-12
"733","dis00733",2021-05-19,"WXOVRWM",100,30,"ap00733",2021-05-20
"734","dis00734",2021-06-09,"DZNCDUT",100,32,"ap00734",2021-05-24
"735","dis00735",2021-07-28,"AFYAJIK",100,29,"ap00735",2021-05-12
"736","dis00736",2021-11-22,"NXERDGO",100,35,"ap00736",2021-06-14
"737","dis00737",2021-07-29,"NSANFWZ",100,38,"ap00737",2021-05-03
"738","dis00738",2021-11-24,"ZGXXXAA",100,31,"ap00738",2021-04-30
"739","dis00739",2021-06-02,"TVUCGJP",100,30,"ap00739",2021-05-19
"740","dis00740",2021-07-25,"HAFSODN",100,26,"ap00740",2021-05-25
"741","dis00741",2021-12-09,"YNZLQYZ",100,24,"ap00741",2021-04-29
"742","dis00742",2021-09-01,"NVATFAQ",100,30,"ap00742",2021-05-28
"743","dis00743",2021-10-27,"TWYBSLM",100,31,"ap00743",2021-08-12
"744","dis00744",2021-10-25,"AWKTHRO",100,21,"ap00744",2021-05-11
"745","dis00745",2021-07-14,"AVMWBWQ",100,23,"ap00745",2021-04-30
"746","dis00746",2021-06-21,"AADNEHH",100,39,"ap00746",2021-05-15
"747","dis00747",2021-05-14,"EWEDERG",100,31,"ap00747",2021-05-04
"748","dis00748",2021-11-01,"YXNPZRC",100,30,"ap00748",2021-05-02
"749","dis00749",2021-06-23,"GVGHLRS",100,31,"ap00749",2021-05-22
"750","dis00750",2021-07-26,"KBZGOUX",100,31,"ap00750",2021-05-28
"751","dis00751",2021-05-15,"ZAWNPJN",100,24,"ap00751",2021-05-14
"752","dis00752",2021-06-04,"PSFSPMD",100,30,"ap00752",2021-05-10
"753","dis00753",2021-07-24,"QYRPIJU",100,26,"ap00753",2021-05-11
"754","dis00754",2021-08-01,"DEHKOMP",100,35,"ap00754",2021-06-02
"755","dis00755",2021-05-14,"NDRCDAF",100,21,"ap00755",2021-05-06
"756","dis00756",2021-06-17,"IXGVGYZ",100,28,"ap00756",2021-05-30
"757","dis00757",2021-07-20,"ZOFBOHP",100,37,"ap00757",2021-05-01
"758","dis00758",2021-11-28,"YVCXATX",100,32,"ap00758",2021-05-21
"759","dis00759",2021-08-16,"AGHIPRY",100,35,"ap00759",2021-05-17
"760","dis00760",2021-07-24,"SDUTHXE",100,30,"ap00760",2021-05-02
"761","dis00761",2021-06-04,"GTATTCD",100,28,"ap00761",2021-05-15
"762","dis00762",2021-07-21,"FQBLLFZ",100,37,"ap00762",2021-06-26
"763","dis00763",2021-07-04,"NJPVPWB",100,29,"ap00763",2021-04-29
"764","dis00764",2021-05-31,"BGNFTUY",100,26,"ap00764",2021-05-13
"765","dis00765",2021-05-21,"ZOONWEH",100,19,"ap00765",2021-05-03
"766","dis00766",2021-07-31,"XZDXZFK",100,33,"ap00766",2021-04-29
"767","dis00767",2021-07-01,"YOJKLVD",100,36,"ap00767",2021-06-23
"768","dis00768",2021-05-19,"AGCNQIM",100,25,"ap00768",2021-05-07
"769","dis00769",2021-06-15,"XPLUVGP",100,34,"ap00769",2021-05-05
"770","dis00770",2021-08-19,"RGBTONM",100,30,"ap00770",2021-06-20
"771","dis00771",2021-07-22,"VPTBJIP",100,23,"ap00771",2021-05-07
"772","dis00772",2021-05-22,"LMGJLDW",100,31,"ap00772",2021-05-04
"773","dis00773",2021-06-14,"XDKODAO",100,39,"ap00773",2021-05-07
"774","dis00774",2021-07-10,"GJDGDBO",100,37,"ap00774",2021-06-28
"775","dis00775",2022-02-18,"FNOXIGU",100,33,"ap00775",2021-05-11
"776","dis00776",2022-03-15,"VUSKAYP",100,31,"ap00776",2021-06-28
"777","dis00777",2021-06-12,"YOLKAXD",100,26,"ap00777",2021-05-03
"778","dis00778",2021-10-06,"QARMOYF",100,33,"ap00778",2021-05-10
"779","dis00779",2021-05-30,"CBDBJSH",100,33,"ap00779",2021-05-13
"780","dis00780",2021-07-04,"YNCKNRE",100,26,"ap00780",2021-06-14
"781","dis00781",2021-05-26,"LBQXSUN",100,28,"ap00781",2021-05-03
"782","dis00782",2021-07-24,"SJKLPDL",100,25,"ap00782",2021-05-03
"783","dis00783",2021-08-08,"CRJQHMX",100,31,"ap00783",2021-05-05
"784","dis00784",2021-07-31,"TVRHRXE",100,24,"ap00784",2021-05-09
"785","dis00785",2021-08-08,"JYZITVT",100,26,"ap00785",2021-06-06
"786","dis00786",2021-07-15,"NIZQSGO",100,31,"ap00786",2021-06-05
"787","dis00787",2021-06-25,"QVFLOML",100,27,"ap00787",2021-05-18
"788","dis00788",2021-07-25,"ZBCUFKL",100,28,"ap00788",2021-05-08
"789","dis00789",2021-05-28,"VFAGAUC",100,27,"ap00789",2021-05-15
"790","dis00790",2021-06-25,"ZXJJHEM",100,22,"ap00790",2021-05-12
"791","dis00791",2021-05-31,"OZLGWBL",100,33,"ap00791",2021-05-14
"792","dis00792",2021-08-18,"GLUJFRJ",100,27,"ap00792",2021-05-31
"793","dis00793",2021-06-21,"SFHYVPO",100,28,"ap00793",2021-05-16
"794","dis00794",2021-05-20,"JYGUWBW",100,42,"ap00794",2021-05-12
"795","dis00795",2021-06-18,"TUUFIVV",100,30,"ap00795",2021-05-13
"796","dis00796",2021-07-09,"RJEOTRU",100,29,"ap00796",2021-05-11
"797","dis00797",2021-09-25,"IXIONKO",100,27,"ap00797",2021-05-23
"798","dis00798",2021-08-06,"RAFBKYD",100,26,"ap00798",2021-05-09
"799","dis00799",2021-05-25,"VAXFJPM",100,32,"ap00799",2021-05-21
"800","dis00800",2021-06-01,"JBECUNL",100,31,"ap00800",2021-05-16
"801","dis00801",2021-11-06,"ILAGXYJ",100,30,"ap00801",2021-06-25
"802","dis00802",2021-07-24,"FCKGNKK",100,36,"ap00802",2021-06-02
"803","dis00803",2021-07-23,"XEHKRYL",100,22,"ap00803",2021-05-07
"804","dis00804",2021-07-01,"TXSDEVE",100,24,"ap00804",2021-05-11
"805","dis00805",2022-06-03,"HORLDYG",100,25,"ap00805",2021-05-08
"806","dis00806",2021-05-09,"QVSRRDF",100,33,"ap00806",2021-05-07
"807","dis00807",2021-07-05,"EQWRHLR",100,44,"ap00807",2021-06-01
"808","dis00808",2021-08-29,"KVBRPAF",100,44,"ap00808",2021-05-05
"809","dis00809",2021-08-09,"TCKRQPE",100,27,"ap00809",2021-05-10
"810","dis00810",2021-06-11,"FQXATVL",100,29,"ap00810",2021-05-18
"811","dis00811",2021-09-16,"JXZAXAB",100,30,"ap00811",2021-05-09
"812","dis00812",2021-09-01,"LXZQVYB",100,31,"ap00812",2021-05-08
"813","dis00813",2022-03-29,"FEDLFXE",100,29,"ap00813",2021-05-15
"814","dis00814",2021-09-04,"WXEJGNY",100,44,"ap00814",2021-07-10
"815","dis00815",2021-06-12,"BNUZFFS",100,40,"ap00815",2021-05-16
"816","dis00816",2021-08-13,"UWKWVYQ",100,22,"ap00816",2021-05-12
"817","dis00817",2021-11-20,"HMAXRRO",100,31,"ap00817",2021-05-23
"818","dis00818",2021-06-28,"UKGNXAJ",100,28,"ap00818",2021-06-09
"819","dis00819",2021-05-29,"UYHMBDW",100,39,"ap00819",2021-05-17
"820","dis00820",2021-12-23,"UTKNOBJ",100,23,"ap00820",2021-05-09
"821","dis00821",2021-06-09,"HSHJCBA",100,30,"ap00821",2021-05-16
"822","dis00822",2022-04-02,"SZVIFNT",100,37,"ap00822",2021-07-01
"823","dis00823",2021-06-11,"RFWOYDG",100,32,"ap00823",2021-05-21
"824","dis00824",2021-06-09,"BFUUUSM",100,29,"ap00824",2021-06-06
"825","dis00825",2021-08-05,"KZPDLNB",100,25,"ap00825",2021-06-01
"826","dis00826",2021-10-07,"INKNZAB",100,34,"ap00826",2021-05-20
"827","dis00827",2021-07-29,"LLRPTVR",100,28,"ap00827",2021-05-10
"828","dis00828",2021-07-20,"ZOBMDHD",100,33,"ap00828",2021-05-17
"829","dis00829",2021-05-25,"DPXIKLN",100,33,"ap00829",2021-05-12
"830","dis00830",2021-07-27,"BCFPRIY",100,25,"ap00830",2021-05-09
"831","dis00831",2021-06-25,"ODKEWCZ",100,28,"ap00831",2021-05-20
"832","dis00832",2021-08-28,"YKIZCSD",100,34,"ap00832",2021-06-26
"833","dis00833",2021-06-03,"GRHYVSR",100,30,"ap00833",2021-05-18
"834","dis00834",2021-08-29,"DVXQHHC",100,32,"ap00834",2021-05-23
"835","dis00835",2021-06-07,"DEIRHLF",100,30,"ap00835",2021-05-11
"836","dis00836",2021-06-16,"RGCGXAZ",100,21,"ap00836",2021-05-10
"837","dis00837",2021-05-31,"TYCPQZX",100,26,"ap00837",2021-05-15
"838","dis00838",2021-05-15,"WJZLWYV",100,29,"ap00838",2021-05-10
"839","dis00839",2021-07-01,"VREXVNU",100,24,"ap00839",2021-05-23
"840","dis00840",2021-07-19,"INMFEIS",100,21,"ap00840",2021-06-08
"841","dis00841",2021-10-09,"LXGNMVW",100,26,"ap00841",2021-05-15
"842","dis00842",2021-06-19,"UCGGVPL",100,26,"ap00842",2021-06-04
"843","dis00843",2021-08-11,"AFLZJSV",100,33,"ap00843",2021-06-10
"844","dis00844",2021-05-25,"LPGQHSK",100,21,"ap00844",2021-05-21
"845","dis00845",2021-06-03,"HCLNOKS",100,27,"ap00845",2021-05-22
"846","dis00846",2021-06-12,"UNVNZUQ",100,36,"ap00846",2021-06-09
"847","dis00847",2021-07-02,"IVKNWEJ",100,31,"ap00847",2021-05-20
"848","dis00848",2021-06-20,"LZRYAOK",100,34,"ap00848",2021-05-28
"849","dis00849",2021-09-12,"FQHYIZP",100,37,"ap00849",2021-05-14
"850","dis00850",2021-06-30,"RCEPOMR",100,34,"ap00850",2021-05-12
"851","dis00851",2022-04-10,"SFXIKRR",100,30,"ap00851",2021-05-11
"852","dis00852",2021-06-27,"STSDLUO",100,35,"ap00852",2021-05-14
"853","dis00853",2021-09-05,"ZWQVVJS",100,35,"ap00853",2021-05-29
"854","dis00854",2021-09-08,"WISKVJZ",100,28,"ap00854",2021-05-11
"855","dis00855",2021-05-29,"UBYRHGL",100,33,"ap00855",2021-05-20
"856","dis00856",2021-10-18,"TPDMJWS",100,28,"ap00856",2021-06-19
"857","dis00857",2021-05-28,"EUPKVZM",100,33,"ap00857",2021-05-15
"858","dis00858",2021-05-23,"SYTORYM",100,31,"ap00858",2021-05-15
"859","dis00859",2021-11-07,"ERPNROI",100,26,"ap00859",2021-06-21
"860","dis00860",2021-05-22,"GKPUCRF",100,21,"ap00860",2021-05-17
"861","dis00861",2021-06-10,"GJWHSEB",100,28,"ap00861",2021-05-30
"862","dis00862",2021-07-30,"HRSCOBY",100,28,"ap00862",2021-05-21
"863","dis00863",2021-11-11,"FXTOLQU",100,36,"ap00863",2021-06-01
"864","dis00864",2021-07-14,"SHXBULO",100,27,"ap00864",2021-06-18
"865","dis00865",2021-05-31,"CICFKUJ",100,23,"ap00865",2021-05-17
"866","dis00866",2021-06-07,"XZQIOUS",100,30,"ap00866",2021-05-26
"867","dis00867",2022-05-02,"RUGNBTK",100,23,"ap00867",2021-06-16
"868","dis00868",2021-06-13,"EGYRIFG",100,26,"ap00868",2021-05-23
"869","dis00869",2021-07-14,"GBVLCAK",100,19,"ap00869",2021-05-17
"870","dis00870",2022-07-14,"VFYTAXJ",100,24,"ap00870",2021-05-16
"871","dis00871",2021-09-10,"DTVBJEW",100,29,"ap00871",2021-07-28
"872","dis00872",2021-07-24,"TRIRZNU",100,29,"ap00872",2021-06-06
"873","dis00873",2021-09-09,"FIPBOVF",100,28,"ap00873",2021-06-09
"874","dis00874",2021-07-05,"CFRAVBY",100,33,"ap00874",2021-05-23
"875","dis00875",2021-05-25,"WHFWPQD",100,25,"ap00875",2021-05-20
"876","dis00876",2021-05-26,"JZARRMC",100,33,"ap00876",2021-05-19
"877","dis00877",2022-01-10,"GYUCTSQ",100,30,"ap00877",2021-05-20
"878","dis00878",2021-05-19,"ZANKSQY",100,34,"ap00878",2021-05-18
"879","dis00879",2021-10-30,"UBHFPDJ",100,29,"ap00879",2021-06-18
"880","dis00880",2021-07-27,"KSVKPWZ",100,36,"ap00880",2021-05-20
"881","dis00881",2021-07-12,"QLTZUHV",100,35,"ap00881",2021-05-24
"882","dis00882",2021-07-12,"EJDKJLD",100,40,"ap00882",2021-06-11
"883","dis00883",2021-08-18,"VLNACKZ",100,29,"ap00883",2021-06-05
"884","dis00884",2021-06-08,"VKJIYJU",100,32,"ap00884",2021-05-30
"885","dis00885",2021-06-15,"BURUTCH",100,21,"ap00885",2021-05-31
"886","dis00886",2021-05-24,"UKHSPYZ",100,29,"ap00886",2021-05-23
"887","dis00887",2021-08-03,"ODOEZRQ",100,26,"ap00887",2021-06-08
"888","dis00888",2021-07-06,"XISFEBN",100,23,"ap00888",2021-06-24
"889","dis00889",2021-11-21,"YWWADQI",100,37,"ap00889",2021-05-25
"890","dis00890",2021-10-10,"CREGQKF",100,29,"ap00890",2021-07-03
"891","dis00891",2021-06-27,"TBSCDJV",100,32,"ap00891",2021-06-06
"892","dis00892",2021-06-28,"TXDLMTA",100,25,"ap00892",2021-06-05
"893","dis00893",2021-09-16,"LCKXIPC",100,32,"ap00893",2021-05-26
"894","dis00894",2021-06-09,"QDPSLCC",100,31,"ap00894",2021-06-06
"895","dis00895",2021-10-03,"RKUJMCE",100,25,"ap00895",2021-06-06
"896","dis00896",2021-05-31,"VWAWQNY",100,27,"ap00896",2021-05-23
"897","dis00897",2021-07-25,"OVQVSQT",100,33,"ap00897",2021-06-10
"898","dis00898",2021-05-25,"HPTPOIR",100,40,"ap00898",2021-05-19
"899","dis00899",2021-07-30,"LJIWYTH",100,34,"ap00899",2021-05-31
"900","dis00900",2021-07-20,"WKSYWND",100,29,"ap00900",2021-06-04
"901","dis00901",2021-07-19,"PQFYWGA",100,23,"ap00901",2021-05-22
"902","dis00902",2021-06-03,"LNWOAFQ",100,37,"ap00902",2021-05-27
"903","dis00903",2021-06-19,"FDLOMXB",100,28,"ap00903",2021-06-16
"904","dis00904",2021-08-15,"LTVGAFM",100,26,"ap00904",2021-05-23
"905","dis00905",2021-06-19,"XSHFGHH",100,34,"ap00905",2021-06-17
"906","dis00906",2021-06-19,"QZFWGRO",100,34,"ap00906",2021-06-10
"907","dis00907",2021-06-05,"SLRRIXH",100,31,"ap00907",2021-06-06
"908","dis00908",2021-06-26,"RTGZNAP",100,27,"ap00908",2021-06-16
"909","dis00909",2021-07-29,"KJNGKHX",100,28,"ap00909",2021-06-01
"910","dis00910",2021-12-27,"IRWGLDV",100,27,"ap00910",2021-06-08
"911","dis00911",2021-05-31,"MQOABGZ",100,30,"ap00911",2021-05-22
"912","dis00912",2021-07-23,"DZKJUVX",100,31,"ap00912",2021-05-28
"913","dis00913",2021-12-05,"OBVUZEN",100,30,"ap00913",2021-05-30
"914","dis00914",2022-04-08,"WFNWCWY",100,22,"ap00914",2021-06-08
"915","dis00915",2021-07-16,"RDTTYDZ",100,31,"ap00915",2021-06-20
"916","dis00916",2021-07-26,"XYJBGXP",100,31,"ap00916",2021-05-28
"917","dis00917",2021-09-01,"YGYPJSZ",100,29,"ap00917",2021-06-30
"918","dis00918",2021-08-07,"VTLJDMV",100,25,"ap00918",2021-07-30
"919","dis00919",2021-09-26,"MBUKZFG",100,41,"ap00919",2021-06-01
"920","dis00920",2021-12-13,"LTKPHSI",100,27,"ap00920",2021-06-07
"921","dis00921",2021-11-08,"XGTLMAD",100,30,"ap00921",2021-06-27
"922","dis00922",2021-11-01,"JUTAVOY",100,24,"ap00922",2021-06-01
"923","dis00923",2021-08-19,"MSCVXUW",100,30,"ap00923",2021-07-04
"924","dis00924",2021-11-08,"NFLNPIW",100,30,"ap00924",2021-08-09
"925","dis00925",2021-11-19,"IFHSDCT",100,28,"ap00925",2021-06-20
"926","dis00926",2021-11-25,"QIZSFKV",100,36,"ap00926",2021-06-18
"927","dis00927",2021-06-24,"JNJMYFE",100,34,"ap00927",2021-06-14
"928","dis00928",2021-06-26,"HNCQATN",100,33,"ap00928",2021-06-01
"929","dis00929",2021-06-18,"JWCXXBW",100,35,"ap00929",2021-05-31
"930","dis00930",2021-09-28,"JZOLEVG",100,29,"ap00930",2021-06-13
"931","dis00931",2021-07-13,"NLRJMJV",100,39,"ap00931",2021-05-27
"932","dis00932",2021-09-13,"GTVWDJR",100,29,"ap00932",2021-06-01
"933","dis00933",2021-06-17,"ZLPVBCE",100,36,"ap00933",2021-06-15
"934","dis00934",2021-07-15,"GOYIDRJ",100,26,"ap00934",2021-06-29
"935","dis00935",2021-07-14,"BXCMBGJ",100,30,"ap00935",2021-06-26
"936","dis00936",2021-06-24,"MMFXJSG",100,33,"ap00936",2021-05-31
"937","dis00937",2021-08-08,"FHUZZIB",100,34,"ap00937",2021-06-29
"938","dis00938",2022-04-01,"BHENGMS",100,30,"ap00938",2021-05-29
"939","dis00939",2021-08-24,"LWAXOOA",100,29,"ap00939",2021-07-09
"940","dis00940",2021-11-30,"VZCIDQE",100,35,"ap00940",2021-06-05
"941","dis00941",2021-10-31,"RZZSNZG",100,25,"ap00941",2021-06-22
"942","dis00942",2021-08-11,"XVJSNZO",100,33,"ap00942",2021-06-05
"943","dis00943",2021-07-07,"MDIXJRH",100,29,"ap00943",2021-06-12
"944","dis00944",2021-06-23,"HZBUJES",100,21,"ap00944",2021-06-23
"945","dis00945",2021-09-15,"GJSMCEJ",100,26,"ap00945",2021-06-26
"946","dis00946",2021-09-22,"EUROPPY",100,28,"ap00946",2021-06-21
"947","dis00947",2021-06-23,"OHDZQJP",100,27,"ap00947",2021-06-10
"948","dis00948",2021-08-27,"DJOVKFW",100,26,"ap00948",2021-06-06
"949","dis00949",2021-10-10,"HNCNXOP",100,36,"ap00949",2021-06-30
"950","dis00950",2021-07-30,"BFQGBRA",100,22,"ap00950",2021-07-03
"951","dis00951",2021-08-03,"CCGLSLH",100,37,"ap00951",2021-07-05
"952","dis00952",2021-11-25,"CKTKGNT",100,25,"ap00952",2021-07-25
"953","dis00953",2021-07-22,"CXUBFZR",100,31,"ap00953",2021-06-17
"954","dis00954",2021-10-04,"AEJCFSA",100,29,"ap00954",2021-06-18
"955","dis00955",2021-07-23,"VVEWTSO",100,34,"ap00955",2021-06-12
"956","dis00956",2021-09-18,"IWLYEWZ",100,26,"ap00956",2021-06-12
"957","dis00957",2021-09-23,"EYAIHHA",100,30,"ap00957",2021-07-04
"958","dis00958",2021-06-15,"JRMIHTB",100,30,"ap00958",2021-06-10
"959","dis00959",2021-06-24,"CXJAUYI",100,28,"ap00959",2021-06-14
"960","dis00960",2021-10-08,"TJSPDLR",100,33,"ap00960",2021-06-24
"961","dis00961",2021-10-22,"DNYMOEA",100,27,"ap00961",2021-07-03
"962","dis00962",2021-06-20,"OAFUEFR",100,36,"ap00962",2021-06-10
"963","dis00963",2022-01-26,"ACQRBAH",100,20,"ap00963",2021-06-25
"964","dis00964",2021-08-07,"TGIJYOI",100,31,"ap00964",2021-06-30
"965","dis00965",2021-07-09,"NNDPQSQ",100,27,"ap00965",2021-06-14
"966","dis00966",2021-06-30,"YRAMQFL",100,30,"ap00966",2021-06-17
"967","dis00967",2021-08-02,"LPFDWIW",100,34,"ap00967",2021-06-24
"968","dis00968",2021-08-12,"ZONIFVF",100,31,"ap00968",2021-08-03
"969","dis00969",2021-08-04,"UIUIDCC",100,26,"ap00969",2021-06-19
"970","dis00970",2021-08-29,"HEXNHBH",100,27,"ap00970",2021-06-20
"971","dis00971",2021-08-15,"ZIFSLXQ",100,42,"ap00971",2021-07-12
"972","dis00972",2021-10-07,"JFZAYHK",100,31,"ap00972",2021-06-28
"973","dis00973",2021-07-14,"ZJIPQSH",100,31,"ap00973",2021-06-30
"974","dis00974",2021-10-21,"PRWCJYI",100,26,"ap00974",2021-08-20
"975","dis00975",2021-12-14,"RHCZHBK",100,25,"ap00975",2021-06-15
"976","dis00976",2021-07-10,"BBVWKLA",100,30,"ap00976",2021-06-24
"977","dis00977",2021-08-11,"LKJUGBJ",100,30,"ap00977",2021-06-26
"978","dis00978",2021-09-02,"ZLEMEGP",100,37,"ap00978",2021-07-04
"979","dis00979",2021-10-06,"CMWWCGG",100,27,"ap00979",2021-06-18
"980","dis00980",2021-07-01,"DOINTLM",100,26,"ap00980",2021-06-21
"981","dis00981",2021-08-26,"TWSXNRZ",100,32,"ap00981",2021-07-26
"982","dis00982",2021-08-08,"JGWCGTM",100,21,"ap00982",2021-06-20
"983","dis00983",2021-08-03,"IWPEFSP",100,33,"ap00983",2021-07-03
"984","dis00984",2021-08-09,"XUNWJQA",100,29,"ap00984",2021-06-30
"985","dis00985",2021-08-14,"RDCEJVX",100,35,"ap00985",2021-08-11
"986","dis00986",2021-07-04,"SGFOQYC",100,38,"ap00986",2021-06-23
"987","dis00987",2021-07-30,"YWVQSFC",100,23,"ap00987",2021-07-22
"988","dis00988",2021-08-04,"OCAEBXE",100,31,"ap00988",2021-08-01
"989","dis00989",2021-08-21,"JZYSCOB",100,28,"ap00989",2021-06-28
"990","dis00990",2021-07-28,"RJVMNUA",100,26,"ap00990",2021-06-25
"991","dis00991",2021-08-31,"CQVCDRB",100,29,"ap00991",2021-07-03
"992","dis00992",2021-07-27,"TDWAEZZ",100,31,"ap00992",2021-07-03
"993","dis00993",2021-12-22,"JKVEMQK",100,24,"ap00993",2021-07-07
"994","dis00994",2022-01-30,"XIJLHXI",100,39,"ap00994",2021-07-18
"995","dis00995",2021-08-02,"FYFYACV",100,25,"ap00995",2021-06-29
"996","dis00996",2021-10-31,"GZCBWSY",100,30,"ap00996",2021-07-23
"997","dis00997",2021-10-16,"BWCWYBE",100,30,"ap00997",2021-07-07
"998","dis00998",2021-07-21,"MCKIGJK",100,27,"ap00998",2021-07-21
"999","dis00999",2021-07-12,"AIAFNYK",100,28,"ap00999",2021-07-10
"1000","dis01000",2021-11-14,"QXMRTCL",100,25,"ap01000",2021-08-09
"1001","dis01001",2021-10-17,"NMOVOCJ",100,33,"ap01001",2021-07-13
"1002","dis01002",2021-09-03,"YKHCWFU",100,26,"ap01002",2021-07-15
"1003","dis01003",2021-09-10,"YCKJQUQ",100,33,"ap01003",2021-07-13
"1004","dis01004",2021-08-02,"YRLPJEU",100,27,"ap01004",2021-07-14
"1005","dis01005",2021-08-14,"VXEHQDI",100,35,"ap01005",2021-08-04
"1006","dis01006",2021-08-05,"DGYTKHS",100,24,"ap01006",2021-08-03
"1007","dis01007",2021-10-12,"GXPRDLH",100,23,"ap01007",2021-07-21
"1008","dis01008",2022-01-23,"ROTLPKY",100,27,"ap01008",2021-08-01
"1009","dis01009",2021-09-06,"IEWCNSP",100,29,"ap01009",2021-08-27
"1010","dis01010",2021-08-12,"IZFHBVE",100,32,"ap01010",2021-07-30
"1011","dis01011",2021-09-12,"RYEOVVJ",100,24,"ap01011",2021-07-13
"1012","dis01012",2021-09-10,"GACKUWU",100,29,"ap01012",2021-08-15
"1013","dis01013",2021-08-26,"HKSIHTF",100,31,"ap01013",2021-07-23
"1014","dis01014",2021-10-07,"UCAGHHN",100,32,"ap01014",2021-07-20
"1015","dis01015",2021-10-06,"LCRDOWM",100,21,"ap01015",2021-07-22
"1016","dis01016",2021-09-05,"FRGNNQE",100,26,"ap01016",2021-07-17
"1017","dis01017",2021-08-13,"VZUTWKR",100,35,"ap01017",2021-07-14
"1018","dis01018",2021-11-27,"FOWPCBN",100,24,"ap01018",2021-07-26
