"no","customer_no","invoice_no","amount","shipper_no","shipper_date"
"85203","c00457","i84969",168,"s88698",2021-12-01
"85207","c00662","i85053",96,"s89283",2021-12-03
"85211","c00035","i85145",56,"s89590",2021-12-04
"85218","c00338","i85050",99,"s90439",2021-12-07
"85219","c00007","i85214",250,"s90741",2021-12-08
"85221","c00177","i85074",216,"s91277",2021-12-10
"85224","c00242","i85032",88,"s91534",2021-12-11
"85225","c00766","i85045",48,"s91814",2021-12-12
"85230","c00851","i85011",81,"s95915",2021-12-27
"85244","c00311","i85332",116,"s82741",2021-11-08
"85245","c00715","i85374",0,"s82742",2021-11-08
"85246","c00002","i85305",60,"s82743",2021-11-08
"85247","c00201","i85277",112,"s82744",2021-11-08
"85248","c00495","i85288",192,"s82745",2021-11-08
"85249","c00596","i85283",48,"s82746",2021-11-08
"85250","c00602","i85378",104,"s82747",2021-11-08
"85251","c00034","i85488",544,"s82748",2021-11-08
"85252","c00612","i85413",156,"s82749",2021-11-08
"85253","c00108","i85251",0,"s82750",2021-11-08
"85276","c00946","i85310",116,"s83032",2021-11-09
"85277","c00719","i85376",132,"s83033",2021-11-09
"85278","c00985","i85418",306,"s83034",2021-11-09
"85279","c00358","i85253",76,"s83035",2021-11-09
"85280","c00620","i85327",100,"s83036",2021-11-09
"85281","c00551","i85241",66,"s83037",2021-11-09
"85282","c00734","i85483",64,"s83038",2021-11-09
"85283","c00239","i85255",38,"s83039",2021-11-09
"85284","c00126","i85245",240,"s83040",2021-11-09
"85285","c00500","i85474",128,"s83041",2021-11-09
"85286","c00815","i85273",0,"s83042",2021-11-09
"85296","c00032","i85421",128,"s83281",2021-11-10
"85297","c00476","i85391",75,"s83282",2021-11-10
"85298","c00946","i85452",174,"s83283",2021-11-10
"85299","c00114","i85328",162,"s83284",2021-11-10
"85300","c00379","i85360",210,"s83285",2021-11-10
"85301","c00834","i85326",80,"s83286",2021-11-10
"85302","c00850","i85420",0,"s83287",2021-11-10
"85303","c00376","i85407",99,"s83288",2021-11-10
"85304","c00794","i85447",160,"s83289",2021-11-10
"85305","c00001","i85393",42,"s83290",2021-11-10
"85306","c00768","i85485",336,"s83291",2021-11-10
"85307","c00091","i85429",124,"s83292",2021-11-10
"85323","c00925","i85355",300,"s83555",2021-11-11
"85324","c00759","i85258",0,"s83556",2021-11-11
"85325","c00783","i85484",210,"s83557",2021-11-11
"85326","c00328","i85297",228,"s83558",2021-11-11
"85327","c00930","i85375",112,"s83559",2021-11-11
"85328","c00968","i85427",168,"s83560",2021-11-11
"85336","c00196","i85244",70,"s83808",2021-11-12
"85337","c00456","i85408",140,"s83809",2021-11-12
"85338","c00938","i85303",64,"s83810",2021-11-12
"85339","c00018","i85358",216,"s83811",2021-11-12
"85340","c00660","i85278",0,"s83812",2021-11-12
"85341","c00652","i85323",396,"s83813",2021-11-12
"85352","c00410","i85287",336,"s84057",2021-11-13
"85353","c00114","i85432",124,"s84058",2021-11-13
"85354","c00503","i85448",99,"s84059",2021-11-13
"85355","c00589","i85499",62,"s84060",2021-11-13
"85356","c00957","i85473",138,"s84061",2021-11-13
"85357","c00061","i85293",168,"s84062",2021-11-13
"85358","c00765","i85279",81,"s84063",2021-11-13
"85359","c00889","i85477",62,"s84064",2021-11-13
"85360","c00700","i85266",150,"s84065",2021-11-13
"85361","c00089","i85469",240,"s84066",2021-11-13
"85373","c00528","i85275",152,"s84313",2021-11-14
"85374","c00397","i85450",420,"s84314",2021-11-14
"85377","c00852","i85381",0,"s84317",2021-11-14
"85378","c00869","i85495",52,"s84318",2021-11-14
"85379","c00973","i85313",60,"s84319",2021-11-14
"85380","c00772","i85331",0,"s84320",2021-11-14
"85387","c00164","i85264",152,"s84573",2021-11-15
"85388","c00650","i85307",60,"s84574",2021-11-15
"85390","c00263","i85475",240,"s84576",2021-11-15
"85391","c00783","i85306",208,"s84577",2021-11-15
"85395","c00958","i85362",222,"s84819",2021-11-16
"85396","c00702","i85272",240,"s84820",2021-11-16
"85397","c00325","i85410",60,"s84821",2021-11-16
"85398","c00402","i85263",180,"s84822",2021-11-16
"85399","c00096","i85431",0,"s84823",2021-11-16
"85400","c00958","i85337",88,"s84824",2021-11-16
"85407","c00679","i85433",288,"s85070",2021-11-17
"85409","c00385","i85269",240,"s85072",2021-11-17
"85410","c00587","i85442",112,"s85073",2021-11-17
"85414","c00431","i85443",280,"s85281",2021-11-18
"85415","c00666","i85319",72,"s85282",2021-11-18
"85417","c00259","i85291",58,"s85284",2021-11-18
"85428","c00611","i85239",0,"s85833",2021-11-20
"85439","c00829","i85368",52,"s86098",2021-11-21
"85440","c00444","i85409",279,"s86099",2021-11-21
"85446","c00694","i85246",90,"s86356",2021-11-22
"85447","c00527","i85500",87,"s86357",2021-11-22
"85451","c00034","i85414",56,"s86615",2021-11-23
"85452","c00469","i85325",156,"s86616",2021-11-23
"85455","c00439","i85233",60,"s86848",2021-11-24
"85456","c00076","i85400",100,"s86849",2021-11-24
"85457","c00470","i85405",264,"s86850",2021-11-24
"85458","c00310","i85336",54,"s86851",2021-11-24
"85459","c00784","i85242",60,"s86852",2021-11-24
"85460","c00501","i85387",54,"s87126",2021-11-25
"85461","c00865","i85455",360,"s87127",2021-11-25
"85462","c00457","i85456",288,"s87128",2021-11-25
"85464","c00536","i85404",129,"s87382",2021-11-26
"85465","c00159","i85439",138,"s87383",2021-11-26
"85466","c00271","i85329",120,"s87384",2021-11-26
"85467","c00557","i85434",84,"s87385",2021-11-26
"85471","c00004","i85335",108,"s87653",2021-11-27
"85472","c00248","i85352",340,"s87654",2021-11-27
"85473","c00024","i85280",264,"s87655",2021-11-27
"85475","c00744","i85240",69,"s87940",2021-11-28
"85476","c00867","i85237",66,"s88200",2021-11-29
"85477","c00031","i85289",190,"s88201",2021-11-29
"85478","c00060","i85397",60,"s88202",2021-11-29
"85484","c00140","i85311",243,"s89286",2021-12-03
"85485","c00569","i85491",30,"s89287",2021-12-03
"85487","c00286","i85248",62,"s89592",2021-12-04
"85488","c00786","i85383",111,"s89593",2021-12-04
"85491","c00814","i85342",0,"s89880",2021-12-05
"85494","c00843","i85243",180,"s91022",2021-12-09
"85497","c00930","i85417",272,"s92672",2021-12-15
"85498","c00862","i85320",300,"s92931",2021-12-16
"85499","c00307","i85292",0,"s93726",2021-12-19
"85505","c00364","i85518",324,"s83047",2021-11-09
"85506","c00855","i85738",84,"s83048",2021-11-09
"85507","c00393","i85572",0,"s83049",2021-11-09
"85527","c00326","i85657",504,"s83312",2021-11-10
"85528","c00129","i85632",76,"s83313",2021-11-10
"85529","c00882","i85538",0,"s83314",2021-11-10
"85530","c00323","i85596",192,"s83315",2021-11-10
"85531","c00846","i85653",162,"s83316",2021-11-10
"85534","c00949","i85513",256,"s83319",2021-11-10
"85535","c00973","i85676",240,"s83320",2021-11-10
"85546","c00924","i85767",351,"s83571",2021-11-11
"85547","c00023","i85624",136,"s83572",2021-11-11
"85548","c00796","i85545",486,"s83573",2021-11-11
"85558","c00692","i85765",26,"s83823",2021-11-12
"85559","c00236","i85591",96,"s83824",2021-11-12
"85560","c00353","i85707",234,"s83825",2021-11-12
"85561","c00145","i85655",60,"s83826",2021-11-12
"85562","c00454","i85547",80,"s83827",2021-11-12
"85563","c00887","i85690",117,"s83828",2021-11-12
"85564","c00181","i85630",105,"s83829",2021-11-12
"85565","c00898","i85701",0,"s83830",2021-11-12
"85566","c00716","i85532",0,"s83831",2021-11-12
"85567","c00158","i85741",96,"s83832",2021-11-12
"85568","c00382","i85681",132,"s83833",2021-11-12
"85569","c00627","i85575",200,"s83834",2021-11-12
"85570","c00003","i85567",80,"s83835",2021-11-12
"85571","c00818","i85730",90,"s83836",2021-11-12
"85581","c00577","i85529",90,"s84076",2021-11-13
"85582","c00334","i85514",162,"s84077",2021-11-13
"85583","c00905","i85693",0,"s84078",2021-11-13
"85584","c00611","i85605",580,"s84079",2021-11-13
"85585","c00069","i85732",0,"s84080",2021-11-13
"85586","c00131","i85620",186,"s84081",2021-11-13
"85587","c00514","i85679",0,"s84082",2021-11-13
"85588","c00392","i85580",156,"s84083",2021-11-13
"85605","c00516","i85677",74,"s84337",2021-11-14
"85606","c00450","i85519",126,"s84338",2021-11-14
"85607","c00519","i85574",174,"s84339",2021-11-14
"85608","c00610","i85525",560,"s84340",2021-11-14
"85609","c00935","i85508",62,"s84341",2021-11-14
"85610","c00948","i85695",0,"s84342",2021-11-14
"85611","c00984","i85753",111,"s84343",2021-11-14
"85612","c00240","i85700",0,"s84344",2021-11-14
"85613","c00494","i85762",0,"s84345",2021-11-14
"85614","c00012","i85744",90,"s84346",2021-11-14
"85626","c00145","i85709",192,"s84589",2021-11-15
"85628","c00308","i85703",144,"s84591",2021-11-15
"85629","c00374","i85533",136,"s84592",2021-11-15
"85630","c00325","i85636",21,"s84593",2021-11-15
"85631","c00845","i85688",52,"s84594",2021-11-15
"85632","c00053","i85760",42,"s84595",2021-11-15
"85633","c00382","i85597",54,"s84596",2021-11-15
"85634","c00449","i85570",140,"s84597",2021-11-15
"85635","c00366","i85582",72,"s84598",2021-11-15
"85643","c00645","i85615",180,"s84832",2021-11-16
"85644","c00247","i85737",136,"s84833",2021-11-16
"85645","c00648","i85535",130,"s84834",2021-11-16
"85646","c00950","i85618",78,"s84835",2021-11-16
"85647","c00195","i85571",0,"s84836",2021-11-16
"85655","c00673","i85639",260,"s85081",2021-11-17
"85656","c00443","i85663",132,"s85082",2021-11-17
"85657","c00858","i85758",165,"s85083",2021-11-17
"85658","c00669","i85509",132,"s85084",2021-11-17
"85659","c00937","i85593",84,"s85085",2021-11-17
"85667","c00088","i85611",120,"s85292",2021-11-18
"85668","c00054","i85725",0,"s85293",2021-11-18
"85669","c00512","i85503",0,"s85294",2021-11-18
"85685","c00847","i85684",76,"s85841",2021-11-20
"85686","c00106","i85686",128,"s85842",2021-11-20
"85687","c00682","i85579",276,"s85843",2021-11-20
"85697","c00039","i85728",81,"s86109",2021-11-21
"85699","c00968","i85511",384,"s86359",2021-11-22
"85700","c00977","i85645",216,"s86360",2021-11-22
"85701","c00177","i85556",74,"s86361",2021-11-22
"85702","c00129","i85551",56,"s86362",2021-11-22
"85706","c00777","i85713",240,"s86620",2021-11-23
"85712","c00468","i85568",66,"s86858",2021-11-24
"85713","c00008","i85619",0,"s86859",2021-11-24
"85714","c00596","i85735",150,"s86860",2021-11-24
"85715","c00262","i85543",128,"s86861",2021-11-24
"85722","c00999","i85662",0,"s87135",2021-11-25
"85724","c00583","i85534",72,"s87387",2021-11-26
"85725","c00813","i85712",96,"s87388",2021-11-26
"85726","c00534","i85746",90,"s87389",2021-11-26
"85727","c00837","i85573",81,"s87390",2021-11-26
"85728","c00566","i85616",70,"s87391",2021-11-26
"85735","c00164","i85635",108,"s87662",2021-11-27
"85736","c00580","i85666",186,"s87663",2021-11-27
"85737","c00619","i85670",64,"s87664",2021-11-27
"85742","c00166","i85683",56,"s88205",2021-11-29
"85743","c00378","i85566",0,"s88206",2021-11-29
"85744","c00315","i85664",198,"s88449",2021-11-30
"85748","c00547","i85554",0,"s88703",2021-12-01
"85752","c00471","i85733",270,"s89594",2021-12-04
"85755","c00616","i85724",105,"s90441",2021-12-07
"85761","c00501","i85759",297,"s91282",2021-12-10
"85762","c00310","i85560",78,"s91283",2021-12-10
"85765","c00678","i85699",408,"s92673",2021-12-15
"85767","c00378","i85628",0,"s96180",2021-12-28
"85777","c00087","i85949",72,"s83330",2021-11-10
"85793","c00269","i85820",48,"s83589",2021-11-11
"85794","c00711","i85865",62,"s83590",2021-11-11
"85795","c00895","i85958",176,"s83591",2021-11-11
"85796","c00399","i85832",0,"s83592",2021-11-11
"85797","c00749","i85863",198,"s83593",2021-11-11
"85798","c00080","i85954",174,"s83594",2021-11-11
"85800","c00608","i85861",54,"s83596",2021-11-11
"85814","c00469","i85997",0,"s83850",2021-11-12
"85815","c00502","i85959",465,"s83851",2021-11-12
"85816","c00706","i85770",68,"s83852",2021-11-12
"85817","c00176","i85811",0,"s83853",2021-11-12
"85818","c00708","i85817",222,"s83854",2021-11-12
"85819","c00851","i85902",150,"s83855",2021-11-12
"85822","c00012","i85993",156,"s83858",2021-11-12
"85823","c00662","i85982",112,"s83859",2021-11-12
"85824","c00697","i85794",0,"s83860",2021-11-12
"85825","c00001","i85853",116,"s83861",2021-11-12
"85827","c00654","i85896",0,"s83863",2021-11-12
"85828","c00086","i85837",156,"s83864",2021-11-12
"85829","c00551","i85799",32,"s83865",2021-11-12
"85830","c00918","i85947",126,"s83866",2021-11-12
"85831","c00027","i85992",198,"s83867",2021-11-12
"85841","c00770","i85979",148,"s84093",2021-11-13
"85842","c00098","i85849",136,"s84094",2021-11-13
"85843","c00523","i85929",88,"s84095",2021-11-13
"85844","c00629","i85786",31,"s84096",2021-11-13
"85856","c00686","i86017",64,"s84358",2021-11-14
"85857","c00683","i85798",0,"s84359",2021-11-14
"85858","c00787","i85802",288,"s84360",2021-11-14
"85859","c00185","i85885",0,"s84361",2021-11-14
"85860","c00687","i85989",116,"s84362",2021-11-14
"85861","c00955","i85872",192,"s84363",2021-11-14
"85862","c00252","i85848",192,"s84364",2021-11-14
"85870","c00571","i85791",152,"s84606",2021-11-15
"85871","c00131","i85841",208,"s84607",2021-11-15
"85872","c00265","i85962",180,"s84608",2021-11-15
"85873","c00743","i85864",0,"s84609",2021-11-15
"85874","c00194","i85984",828,"s84610",2021-11-15
"85875","c00845","i85842",0,"s84611",2021-11-15
"85876","c00903","i85944",296,"s84612",2021-11-15
"85877","c00231","i85805",84,"s84613",2021-11-15
"85887","c00619","i85869",0,"s84846",2021-11-16
"85888","c00075","i86010",74,"s84847",2021-11-16
"85889","c00119","i85876",120,"s84848",2021-11-16
"85890","c00611","i85887",0,"s84849",2021-11-16
"85891","c00423","i85952",60,"s84850",2021-11-16
"85892","c00125","i85834",288,"s84851",2021-11-16
"85900","c00072","i85930",116,"s85093",2021-11-17
"85901","c00512","i85898",324,"s85094",2021-11-17
"85902","c00708","i85783",396,"s85095",2021-11-17
"85903","c00107","i85969",0,"s85096",2021-11-17
"85908","c00697","i85928",93,"s85299",2021-11-18
"85909","c00522","i85812",99,"s85300",2021-11-18
"85910","c00271","i85908",152,"s85301",2021-11-18
"85911","c00874","i85866",228,"s85302",2021-11-18
"85921","c00083","i85931",108,"s85554",2021-11-19
"85922","c00027","i85888",50,"s85555",2021-11-19
"85923","c00060","i86006",540,"s85556",2021-11-19
"85924","c00555","i85881",0,"s85557",2021-11-19
"85925","c00953","i85948",102,"s85558",2021-11-19
"85926","c00120","i85814",0,"s85559",2021-11-19
"85933","c00063","i85810",168,"s85850",2021-11-20
"85943","c00685","i85847",378,"s86119",2021-11-21
"85945","c00854","i85921",99,"s86121",2021-11-21
"85946","c00728","i85895",58,"s86122",2021-11-21
"85949","c00181","i85875",136,"s86365",2021-11-22
"85950","c00412","i85998",156,"s86366",2021-11-22
"85951","c00722","i85995",99,"s86367",2021-11-22
"85956","c00939","i85971",174,"s86625",2021-11-23
"85957","c00768","i85859",64,"s86626",2021-11-23
"85963","c00103","i86012",144,"s86867",2021-11-24
"85964","c00342","i85827",28,"s86868",2021-11-24
"85965","c00168","i86011",324,"s86869",2021-11-24
"85971","c00108","i85973",400,"s87141",2021-11-25
"85974","c00201","i85771",324,"s87394",2021-11-26
"85975","c00053","i85968",30,"s87395",2021-11-26
"85976","c00098","i85966",47,"s87396",2021-11-26
"85984","c00518","i85807",264,"s87949",2021-11-28
"85985","c00512","i85924",384,"s87950",2021-11-28
"85986","c00954","i85937",216,"s87951",2021-11-28
"85990","c00462","i86014",0,"s88210",2021-11-29
"85992","c00114","i85890",148,"s88451",2021-11-30
"85994","c00445","i85788",62,"s88705",2021-12-01
"86001","c00268","i85852",240,"s89598",2021-12-04
"86005","c00773","i85772",62,"s89886",2021-12-05
"86007","c00708","i85854",138,"s90141",2021-12-06
"86009","c00930","i85823",144,"s90443",2021-12-07
"86013","c00376","i85801",0,"s91285",2021-12-10
"86015","c00828","i85843",31,"s92084",2021-12-13
"86020","c00127","i85965",230,"s95641",2021-12-26
"86021","c00953","i85901",192,"s96181",2021-12-28
"86022","c00541","i85839",0,"s97277",2022-01-01
"86031","c00893","i86202",120,"s83605",2021-11-11
"86032","c00635","i86212",270,"s83606",2021-11-11
"86033","c00336","i86207",336,"s83607",2021-11-11
"86034","c00847","i86076",328,"s83608",2021-11-11
"86035","c00580","i86149",150,"s83609",2021-11-11
"86045","c00114","i86180",150,"s83877",2021-11-12
"86046","c00020","i86238",210,"s83878",2021-11-12
"86047","c00378","i86256",208,"s83879",2021-11-12
"86048","c00432","i86060",420,"s83880",2021-11-12
"86049","c00277","i86030",49,"s83881",2021-11-12
"86050","c00751","i86111",570,"s83882",2021-11-12
"86051","c00829","i86236",261,"s83883",2021-11-12
"86052","c00784","i86170",304,"s83884",2021-11-12
"86053","c00908","i86031",54,"s83885",2021-11-12
"86054","c00271","i86257",140,"s83886",2021-11-12
"86055","c00899","i86078",100,"s83887",2021-11-12
"86069","c00942","i86096",0,"s84110",2021-11-13
"86070","c00427","i86044",320,"s84111",2021-11-13
"86071","c00712","i86057",87,"s84112",2021-11-13
"86072","c00004","i86089",230,"s84113",2021-11-13
"86073","c00688","i86143",525,"s84114",2021-11-13
"86074","c00237","i86239",128,"s84115",2021-11-13
"86075","c00747","i86064",261,"s84116",2021-11-13
"86076","c00290","i86226",174,"s84117",2021-11-13
"86077","c00827","i86068",124,"s84118",2021-11-13
"86078","c00017","i86255",38,"s84119",2021-11-13
"86079","c00696","i86227",140,"s84120",2021-11-13
"86093","c00777","i86267",90,"s84378",2021-11-14
"86094","c00933","i86231",240,"s84379",2021-11-14
"86095","c00011","i86157",50,"s84380",2021-11-14
"86097","c00704","i86178",0,"s84382",2021-11-14
"86108","c00362","i86071",180,"s84624",2021-11-15
"86109","c00259","i86102",60,"s84625",2021-11-15
"86110","c00893","i86171",0,"s84626",2021-11-15
"86112","c00351","i86159",104,"s84628",2021-11-15
"86113","c00455","i86201",144,"s84629",2021-11-15
"86114","c00439","i86243",900,"s84630",2021-11-15
"86115","c00690","i86034",0,"s84631",2021-11-15
"86122","c00542","i86082",240,"s84857",2021-11-16
"86123","c00740","i86213",0,"s84858",2021-11-16
"86124","c00404","i86172",0,"s84859",2021-11-16
"86125","c00811","i86029",58,"s84860",2021-11-16
"86126","c00857","i86161",0,"s84861",2021-11-16
"86127","c00777","i86155",384,"s84862",2021-11-16
"86128","c00485","i86215",0,"s84863",2021-11-16
"86129","c00304","i86253",0,"s84864",2021-11-16
"86137","c00829","i86059",68,"s85104",2021-11-17
"86139","c00643","i86160",207,"s85106",2021-11-17
"86146","c00239","i86045",0,"s85309",2021-11-18
"86147","c00179","i86209",186,"s85310",2021-11-18
"86148","c00371","i86244",350,"s85311",2021-11-18
"86149","c00922","i86185",66,"s85312",2021-11-18
"86150","c00035","i86135",0,"s85313",2021-11-18
"86151","c00803","i86240",276,"s85314",2021-11-18
"86152","c00651","i86265",96,"s85315",2021-11-18
"86163","c00367","i86101",111,"s85570",2021-11-19
"86164","c00579","i86033",495,"s85571",2021-11-19
"86165","c00784","i86041",126,"s85572",2021-11-19
"86166","c00187","i86222",105,"s85573",2021-11-19
"86167","c00185","i86061",108,"s85574",2021-11-19
"86168","c00709","i86132",288,"s85575",2021-11-19
"86175","c00256","i86134",144,"s85857",2021-11-20
"86176","c00743","i86181",60,"s85858",2021-11-20
"86177","c00413","i86043",243,"s85859",2021-11-20
"86178","c00637","i86146",72,"s85860",2021-11-20
"86179","c00209","i86109",300,"s85861",2021-11-20
"86188","c00420","i86189",120,"s86131",2021-11-21
"86193","c00026","i86234",124,"s86372",2021-11-22
"86194","c00686","i86063",54,"s86373",2021-11-22
"86195","c00773","i86133",62,"s86374",2021-11-22
"86199","c00856","i86246",0,"s86630",2021-11-23
"86200","c00861","i86224",112,"s86631",2021-11-23
"86201","c00637","i86174",72,"s86632",2021-11-23
"86205","c00993","i86099",280,"s86873",2021-11-24
"86215","c00427","i86024",52,"s87668",2021-11-27
"86216","c00026","i86237",33,"s87669",2021-11-27
"86217","c00102","i86107",0,"s87670",2021-11-27
"86220","c00583","i86062",116,"s87954",2021-11-28
"86221","c00628","i86052",260,"s87955",2021-11-28
"86222","c00431","i86192",300,"s87956",2021-11-28
"86223","c00818","i86208",42,"s87957",2021-11-28
"86227","c00322","i86098",480,"s88214",2021-11-29
"86228","c00442","i86054",270,"s88215",2021-11-29
"86229","c00516","i86168",252,"s88216",2021-11-29
"86236","c00402","i86077",138,"s88710",2021-12-01
"86237","c00018","i86094",372,"s88711",2021-12-01
"86238","c00103","i86120",0,"s88712",2021-12-01
"86239","c00262","i86093",0,"s88713",2021-12-01
"86244","c00393","i86247",0,"s89601",2021-12-04
"86246","c00818","i86122",87,"s89603",2021-12-04
"86252","c00858","i86100",72,"s90144",2021-12-06
"86254","c00539","i86274",102,"s90445",2021-12-07
"86255","c00545","i86158",138,"s90745",2021-12-08
"86257","c00962","i86273",432,"s91025",2021-12-09
"86261","c00052","i86080",40,"s91289",2021-12-10
"86262","c00635","i86252",468,"s91290",2021-12-10
"86264","c00276","i86046",207,"s92375",2021-12-14
"86265","c00412","i86040",351,"s92376",2021-12-14
"86266","c00895","i86260",90,"s92377",2021-12-14
"86268","c00062","i86203",0,"s92675",2021-12-15
"86269","c00816","i86242",0,"s92676",2021-12-15
"86271","c00460","i86025",222,"s93728",2021-12-19
"86287","c00691","i86402",0,"s83897",2021-11-12
"86288","c00838","i86523",279,"s83898",2021-11-12
"86289","c00917","i86452",174,"s83899",2021-11-12
"86290","c00730","i86459",152,"s83900",2021-11-12
"86292","c00259","i86471",400,"s83902",2021-11-12
"86311","c00228","i86412",100,"s84139",2021-11-13
"86312","c00271","i86372",0,"s84140",2021-11-13
"86313","c00518","i86292",120,"s84141",2021-11-13
"86314","c00389","i86428",124,"s84142",2021-11-13
"86315","c00704","i86418",102,"s84143",2021-11-13
"86316","c00532","i86286",123,"s84144",2021-11-13
"86333","c00312","i86536",330,"s84399",2021-11-14
"86334","c00929","i86488",272,"s84400",2021-11-14
"86335","c00409","i86409",186,"s84401",2021-11-14
"86336","c00454","i86410",60,"s84402",2021-11-14
"86337","c00123","i86405",132,"s84403",2021-11-14
"86348","c00742","i86370",234,"s84643",2021-11-15
"86349","c00148","i86457",168,"s84644",2021-11-15
"86350","c00370","i86305",240,"s84645",2021-11-15
"86351","c00056","i86306",0,"s84646",2021-11-15
"86352","c00141","i86517",222,"s84647",2021-11-15
"86353","c00199","i86421",0,"s84648",2021-11-15
"86354","c00240","i86297",228,"s84649",2021-11-15
"86355","c00762","i86493",540,"s84650",2021-11-15
"86356","c00331","i86520",72,"s84651",2021-11-15
"86357","c00082","i86333",184,"s84652",2021-11-15
"86358","c00950","i86503",0,"s84653",2021-11-15
"86360","c00014","i86456",432,"s84655",2021-11-15
"86362","c00827","i86513",256,"s84657",2021-11-15
"86363","c00942","i86467",204,"s84658",2021-11-15
"86375","c00999","i86540",60,"s84876",2021-11-16
"86376","c00785","i86296",88,"s84877",2021-11-16
"86377","c00002","i86442",56,"s84878",2021-11-16
"86378","c00359","i86399",52,"s84879",2021-11-16
"86379","c00579","i86315",225,"s84880",2021-11-16
"86388","c00899","i86416",228,"s85115",2021-11-17
"86389","c00688","i86469",160,"s85116",2021-11-17
"86390","c00194","i86284",288,"s85117",2021-11-17
"86391","c00378","i86545",0,"s85118",2021-11-17
"86392","c00562","i86358",216,"s85119",2021-11-17
"86393","c00572","i86446",192,"s85120",2021-11-17
"86394","c00985","i86466",192,"s85121",2021-11-17
"86395","c00677","i86490",52,"s85122",2021-11-17
"86396","c00016","i86472",297,"s85123",2021-11-17
"86400","c00457","i86549",96,"s85127",2021-11-17
"86412","c00016","i86282",210,"s85327",2021-11-18
"86413","c00695","i86312",232,"s85328",2021-11-18
"86414","c00621","i86423",306,"s85329",2021-11-18
"86415","c00683","i86338",192,"s85330",2021-11-18
"86416","c00187","i86328",81,"s85331",2021-11-18
"86418","c00289","i86302",62,"s85333",2021-11-18
"86419","c00475","i86443",420,"s85334",2021-11-18
"86420","c00702","i86518",0,"s85335",2021-11-18
"86429","c00637","i86394",144,"s85584",2021-11-19
"86430","c00835","i86539",156,"s85585",2021-11-19
"86431","c00711","i86438",216,"s85586",2021-11-19
"86433","c00514","i86436",240,"s85588",2021-11-19
"86434","c00388","i86519",504,"s85589",2021-11-19
"86435","c00445","i86485",336,"s85590",2021-11-19
"86438","c00650","i86381",296,"s85864",2021-11-20
"86439","c00611","i86376",330,"s85865",2021-11-20
"86440","c00023","i86368",156,"s85866",2021-11-20
"86441","c00599","i86279",54,"s85867",2021-11-20
"86447","c00448","i86448",396,"s86137",2021-11-21
"86448","c00647","i86450",420,"s86138",2021-11-21
"86449","c00925","i86510",90,"s86139",2021-11-21
"86450","c00065","i86462",216,"s86140",2021-11-21
"86451","c00108","i86303",96,"s86141",2021-11-21
"86452","c00943","i86509",66,"s86142",2021-11-21
"86453","c00925","i86447",320,"s86143",2021-11-21
"86458","c00940","i86388",256,"s86379",2021-11-22
"86459","c00190","i86369",216,"s86380",2021-11-22
"86460","c00930","i86479",62,"s86381",2021-11-22
"86461","c00189","i86351",192,"s86382",2021-11-22
"86462","c00040","i86304",0,"s86383",2021-11-22
"86463","c00264","i86489",282,"s86384",2021-11-22
"86468","c00821","i86384",315,"s86637",2021-11-23
"86469","c00089","i86534",144,"s86638",2021-11-23
"86470","c00198","i86373",216,"s86639",2021-11-23
"86478","c00562","i86439",138,"s86881",2021-11-24
"86479","c00108","i86434",252,"s86882",2021-11-24
"86480","c00221","i86499",62,"s86883",2021-11-24
"86481","c00818","i86473",207,"s86884",2021-11-24
"86483","c00148","i86293",336,"s87145",2021-11-25
"86484","c00878","i86330",32,"s87146",2021-11-25
"86488","c00922","i86507",148,"s87405",2021-11-26
"86489","c00602","i86366",132,"s87406",2021-11-26
"86490","c00433","i86458",0,"s87407",2021-11-26
"86491","c00803","i86314",96,"s87408",2021-11-26
"86492","c00302","i86299",270,"s87409",2021-11-26
"86497","c00911","i86531",104,"s87675",2021-11-27
"86498","c00821","i86461",84,"s87676",2021-11-27
"86501","c00716","i86380",162,"s87960",2021-11-28
"86504","c00416","i86341",496,"s88455",2021-11-30
"86508","c00566","i86486",180,"s88717",2021-12-01
"86510","c00531","i86307",180,"s88996",2021-12-02
"86511","c00350","i86320",0,"s88997",2021-12-02
"86512","c00474","i86445",128,"s88998",2021-12-02
"86513","c00845","i86533",204,"s88999",2021-12-02
"86515","c00227","i86364",62,"s89292",2021-12-03
"86516","c00931","i86288",32,"s89293",2021-12-03
"86519","c00587","i86316",68,"s89606",2021-12-04
"86521","c00893","i86417",0,"s89891",2021-12-05
"86523","c00890","i86310",0,"s90146",2021-12-06
"86524","c00695","i86321",0,"s90147",2021-12-06
"86527","c00608","i86392",435,"s90448",2021-12-07
"86528","c00978","i86541",102,"s90449",2021-12-07
"86529","c00595","i86553",216,"s90450",2021-12-07
"86531","c00551","i86525",112,"s90747",2021-12-08
"86532","c00032","i86511",256,"s91026",2021-12-09
"86533","c00276","i86430",0,"s91027",2021-12-09
"86534","c00803","i86395",380,"s91028",2021-12-09
"86536","c00917","i86516",288,"s91537",2021-12-11
"86537","c00055","i86552",162,"s91816",2021-12-12
"86539","c00847","i86406",111,"s92086",2021-12-13
"86540","c00488","i86337",132,"s92378",2021-12-14
"86543","c00532","i86365",348,"s92679",2021-12-15
"86545","c00816","i86374",234,"s93196",2021-12-17
"86547","c00255","i86482",0,"s94005",2021-12-20
"86548","c00051","i86327",400,"s94519",2021-12-22
"86553","c00720","i86295",0,"s97798",2022-01-03
"86554","c00463","i86526",24,"s97799",2022-01-03
